po_number,po_line_number,part_id,destination_plant_id,ordered_quantity,order_uom,original_requested_delivery_date,revised_requested_delivery_date,unit_price,line_status
PO-5001,1,P-2001,PLT-01,100,EA,2026-08-08,,45.00,CLOSED
PO-5002,1,P-2001,PLT-01,50,EA,2026-08-09,,45.00,CLOSED
PO-5003,1,P-2001,PLT-01,80,EA,2026-08-10,,45.00,CLOSED
PO-5004,1,P-2001,PLT-01,120,EA,2026-08-10,,45.00,CLOSED
PO-5005,1,P-2001,PLT-01,60,EA,2026-08-11,,45.00,CLOSED
PO-5006,1,P-2001,PLT-01,40,EA,2026-08-10,2026-08-12,45.00,CLOSED
PO-5007,1,P-2001,PLT-01,30,EA,2026-08-12,,45.00,OPEN
PO-5008,1,P-2001,PLT-01,75,EA,2026-08-13,,45.00,CLOSED
PO-5009,1,P-2001,PLT-01,50,EA,2026-08-20,,45.00,OPEN
PO-5010,1,P-2001,PLT-01,0,EA,2026-08-05,,0.00,CANCELED
PO-5011,1,P-2001,PLT-01,25,EA,,2026-08-14,45.00,CLOSED
PO-5012,1,P-2001,PLT-01,NOT_A_NUMBER,EA,2026-08-14,,45.00,OPEN
PO-5013,1,P-2001,PLT-01,10,BOX,2026-08-14,,45.00,CLOSED
