po_number,erp_supplier_code,po_creation_date,destination_plant_id,currency_code,buyer_id,po_status
PO-5001,BW-ERP-01,2026-07-25,PLT-01,USD,BUY-001,CLOSED
PO-5002,PC-ERP-02,2026-07-26,PLT-01,USD,BUY-002,CLOSED
PO-5003,VE-ERP-03,2026-07-27,PLT-01,USD,BUY-003,CLOSED
PO-5004,PC-ERP-02,2026-07-28,PLT-01,USD,BUY-002,CLOSED
PO-5005,VE-ERP-03,2026-07-29,PLT-01,USD,BUY-003,CLOSED
PO-5006,BW-ERP-01,2026-07-30,PLT-01,USD,BUY-001,CLOSED
PO-5007,PC-ERP-02,2026-07-31,PLT-01,USD,BUY-002,OPEN
PO-5008,VE-ERP-03,2026-08-01,PLT-01,USD,BUY-003,CLOSED
PO-5009,BW-ERP-01,2026-08-10,PLT-01,USD,BUY-001,OPEN
PO-5010,LBC-ERP-99,2026-07-20,PLT-01,USD,BUY-004,CANCELED
PO-5011,BW-ERP-01,2026-08-01,PLT-01,USD,BUY-001,CLOSED
PO-5012,PC-ERP-02,2026-08-02,PLT-01,USD,BUY-002,OPEN
PO-5013,VE-ERP-03,2026-08-02,PLT-01,USD,BUY-003,CLOSED
