receipt_id,shipment_id,shipment_line_number,physical_receipt_quantity,receipt_uom,receipt_date,receiving_dock
R-8001,SH-9001,1,90,EACH,2026-08-08,Dock-A
R-8002,SH-9002,1,10,EACH,2026-08-11,Dock-B
R-8003,SH-9003,1,50,EACH,2026-08-06,Dock-A
R-8004,SH-9004,1,80,EACH,2026-08-07,Dock-C
R-8005,SH-9005,1,40,EACH,2026-08-09,Dock-A
R-8006,SH-9005,1,20,EACH,2026-08-11,Dock-A
R-8007,SH-9006,1,40,EACH,2026-08-08,Dock-B
R-8008,SH-9007,1,70,EACH,2026-08-09,Dock-C
R-8009,SH-9009,1,25,EACH,2026-08-08,Dock-A
R-8010,SH-9008,1,45,EACH,2026-08-09,Dock-B
R-8011,SH-9010,1,20,EACH,2026-08-10,Dock-A
R-8012,SH-9013,1,55,EACH,2026-08-10,Dock-C
R-8013,SH-9014,1,25,EACH,2026-08-09,Dock-A
R-8014,SH-9015,1,40,BOX,2026-08-09,Dock-B
