shipment_id,shipment_line_number,po_number,po_line_number,logistics_part_code,shipped_quantity,shipment_uom,original_carrier_commitment_date,revised_carrier_commitment_date
SH-9001,1,PO-5001,1,LGS-BATT,90,EACH,2026-08-08,
SH-9002,1,PO-5001,1,LGS-BATT,10,EACH,2026-08-10,
SH-9003,1,PO-5002,1,LGS-BATT,65,EACH,2026-08-06,
SH-9004,1,PO-5003,1,LGS-BATT,90,EACH,2026-08-05,
SH-9005,1,PO-5004,1,LGS-BATT,100,EACH,2026-08-10,
SH-9006,1,PO-5005,1,LGS-BATT,45,EACH,2026-08-08,
SH-9007,1,PO-5006,1,LGS-BATT,85,EACH,2026-08-07,2026-08-12
SH-9008,1,PO-5007,1,LGS-BATT,25,EACH,2026-08-09,
SH-9009,1,PO-5008,1,LGS-BATT,30,EACH,2026-08-08,
SH-9010,1,PO-5008,1,LGS-BATT,25,EACH,2026-08-10,
SH-9011,1,PO-5009,1,LGS-BATT,35,EACH,2026-08-20,
SH-9012,1,PO-5010,1,LGS-BATT,0,EACH,2026-08-05,
SH-9013,1,PO-5011,1,LGS-BATT,55,EACH,,2026-08-12
SH-9014,1,PO-5012,1,LGS-BATT,NOT_A_NUMBER,EACH,2026-08-09,
SH-9015,1,PO-5013,1,LGS-BATT,10,BOX,2026-08-09,
