shipment_id,carrier_id,logistics_supplier_code,logistics_plant_code,ship_date
SH-9001,CR-01,LOG-BW,WH-PUNE-01,2026-08-05
SH-9002,CR-02,LOG-BW,WH-PUNE-01,2026-08-08
SH-9003,CR-01,LOG-PC,WH-PUNE-01,2026-08-03
SH-9004,CR-03,LOG-VM,WH-PUNE-01,2026-08-04
SH-9005,CR-01,LOG-BW,WH-PUNE-01,2026-08-06
SH-9006,CR-02,LOG-PC,WH-PUNE-01,2026-08-05
SH-9007,CR-03,LOG-VM,WH-PUNE-01,2026-08-04
SH-9008,CR-01,LOG-EP,WH-PUNE-01,2026-08-06
SH-9009,CR-02,LOG-BW,WH-PUNE-01,2026-08-07
SH-9010,CR-03,LOG-BW,WH-PUNE-01,2026-08-08
SH-9011,CR-01,LOG-BW,WH-PUNE-01,2026-08-15
SH-9012,CR-02,LOG-VM,WH-PUNE-01,2026-07-03
SH-9013,CR-03,LOG-EP,WH-PUNE-01,2026-08-07
SH-9014,CR-01,LOG-PC,WH-PUNE-01,2026-08-06
SH-9015,CR-02,LOG-VM,WH-PUNE-01,2026-08-06
