planning_record_id,production_plan_id,planning_part_code,planning_plant_code,production_need_date,required_quantity,requirement_uom,usable_quantity_available_by_need_date,snapshot_timestamp,requirement_status
PLN-5001,PLAN-5001,BAT-65W-PLAN,PUNE_MFG,2026-08-12,100,EA,95,2026-08-01T08:00:00,ACTIVE
PLN-5002,PLAN-5002,BAT-65W-PLAN,PUNE_MFG,2026-08-13,50,EA,50,2026-08-01T08:00:00,ACTIVE
PLN-5003,PLAN-5003,BAT-65W-PLAN,PUNE_MFG,2026-08-14,80,EA,80,2026-08-01T08:00:00,ACTIVE
PLN-5004,PLAN-5004,BAT-65W-PLAN,PUNE_MFG,2026-08-15,120,EA,118,2026-08-01T08:00:00,ACTIVE
PLN-5005,PLAN-5005,BAT-65W-PLAN,PUNE_MFG,2026-08-16,60,EA,68,2026-08-01T08:00:00,ACTIVE
PLN-5006,PLAN-5006,BAT-65W-PLAN,PUNE_MFG,2026-08-17,40,EA,40,2026-08-01T08:00:00,ACTIVE
PLN-5007,PLAN-5007,BAT-65W-PLAN,PUNE_MFG,2026-08-18,30,EA,0,2026-08-01T08:00:00,ACTIVE
PLN-5008,PLAN-5008,BAT-65W-PLAN,PUNE_MFG,2026-08-19,75,EA,70,2026-08-01T08:00:00,ACTIVE
PLN-5009,PLAN-5009,BAT-65W-PLAN,PUNE_MFG,2026-08-22,50,EA,0,2026-08-01T08:00:00,ACTIVE
PLN-5010,PLAN-5010,BAT-65W-PLAN,PUNE_MFG,2026-08-20,0,EA,0,2026-08-01T08:00:00,CANCELED
PLN-5011,PLAN-5011,BAT-65W-PLAN,PUNE_MFG,,25,EA,25,2026-08-01T08:00:00,ACTIVE
PLN-5012,PLAN-5012,BAT-65W-PLAN,PUNE_MFG,2026-08-21,NOT_A_NUMBER,EA,NOT_A_NUMBER,2026-08-01T08:00:00,ACTIVE
PLN-5013,PLAN-5013,BAT-65W-PLAN,PUNE_MFG,2026-08-21,10,BOX,10,2026-08-01T08:00:00,ACTIVE
