inspection_id,receipt_id,inspection_completion_date,inspected_quantity,accepted_quantity,rejected_quantity,damaged_quantity,inspection_uom,disposition,inspection_status
INS-001,R-8001,2026-08-08,90,85,5,5,EA,PARTIAL_REJECT,FINAL
INS-002,R-8002,2026-08-11,10,10,0,0,EA,ACCEPTED,FINAL
INS-003,R-8003,2026-08-09,50,50,0,0,EA,ACCEPTED,FINAL
INS-004,R-8004,2026-08-11,80,80,0,0,EA,ACCEPTED,FINAL
INS-005,R-8005,2026-08-09,50,48,2,2,EA,PARTIAL_REJECT,FINAL
INS-006,R-8006,2026-08-11,20,20,0,0,EA,ACCEPTED,FINAL
INS-007,R-8007,2026-08-12,50,50,0,0,EA,ACCEPTED,FINAL
INS-008,R-8008,2026-08-11,70,68,2,2,EA,PARTIAL_REJECT,FINAL
INS-009,R-8009,2026-08-12,40,40,0,0,EA,ACCEPTED,FINAL
INS-010,R-8011,2026-08-13,50,45,5,5,EA,PARTIAL_REJECT,FINAL
INS-011,R-8012,2026-08-14,25,25,0,0,EA,ACCEPTED,FINAL
INS-012,R-8013,2026-08-14,25,25,0,0,EA,ACCEPTED,FINAL
INS-013,R-8014,2026-08-14,10,10,0,0,BOX,ACCEPTED,FINAL
